Pool Name,Risk (Exponential),Yield (30d APY),Pool URL (Exponential),Protocol name,Assets (tickers),Assets (names),Protocol,Assets
Quickswap MATIC-USD Market Making,C,0.1942,https://exponential.fi/pools/b35e7834-ddfe-4ac3-ba44-f24f4f834259,QuickSwap,"MATIC,USDC","MATIC,USD Coin (PoS Polygon)",https://www.notion.so/QuickSwap-4cd5914cda0a4ca8a027af262dbfc766,"https://www.notion.so/MATIC-e22993a7275f4e0788241f86bba81d15, https://www.notion.so/USD-Coin-PoS-Polygon-63baa480cefb4baf806172a19c7a04c0"
Trader Joe AVAX-USD Market Making,B,0.1753,https://exponential.fi/pools/f6f177b9-7afd-4a45-97cb-4e94c1ba5fda,Trader Joe,"AVAX,USDT","Avalanche,Tether Token (native Avalanche)",https://www.notion.so/Trader-Joe-46defacf2d934594842bbb52d75bb6b9,"https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6, https://www.notion.so/Tether-Token-native-Avalanche-d26808b765454086a2951aa642fdbb01"
Trader Joe AVAX-USD Market Making,C,0.1611,https://exponential.fi/pools/fe295030-e237-4d15-867b-55af8c792db2,Trader Joe,"USDC,AVAX","USD Coin Avalanche Bridged,Avalanche",https://www.notion.so/Trader-Joe-46defacf2d934594842bbb52d75bb6b9,"https://www.notion.so/USD-Coin-Avalanche-Bridged-f53a8bb79e4d47c8be610da9aeeaef77, https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6"
Trader Joe AVAX-USD Market Making,C,0.1554,https://exponential.fi/pools/f112ad7a-1f44-4400-bb40-c2268f5f8846,Trader Joe,"DAI,AVAX","Dai Stablecoin (Avalanche),Avalanche",https://www.notion.so/Trader-Joe-46defacf2d934594842bbb52d75bb6b9,"https://www.notion.so/Dai-Stablecoin-Avalanche-50e5e95542d446328030694140989c60, https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6"
Trader Joe AVAX-USD Market Making,C,0.142,https://exponential.fi/pools/e8849672-2cf2-49f7-983c-71c5c6543d85,Trader Joe,"AVAX,USDT.e","Avalanche,Tether USD (Avalanche)",https://www.notion.so/Trader-Joe-46defacf2d934594842bbb52d75bb6b9,"https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6, https://www.notion.so/Tether-USD-Avalanche-ab8398ee64df4afe90a3cbac6fc9859d"
DeFiChain DFI-USD Market Making,D,0.131,https://exponential.fi/pools/ef03a27d-6367-47f5-aa4e-3c2b08e55d8a,DeFiChain Dex,"DUSD,DFI","Decentralized USD,DeFiChain",https://www.notion.so/DeFiChain-Dex-482f16505a3542d1b1d115c0448424c3,"https://www.notion.so/Decentralized-USD-e768f69eee0c40f890b4e9ea2b3723af, https://www.notion.so/DeFiChain-0cb8b70f893041c481a40d534d365c5e"
Trader Joe AVAX-USD Market Making,C,0.1307,https://exponential.fi/pools/2299cbc0-d70d-4fcc-92b1-d421115d28e0,Trader Joe,"MIM,AVAX","Magic Internet Money (Avalanche),Avalanche",https://www.notion.so/Trader-Joe-46defacf2d934594842bbb52d75bb6b9,"https://www.notion.so/Magic-Internet-Money-Avalanche-bb660b5e4597477b9aeb938be4fd4a8d, https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6"
Aave USD Lending,A,0.0172,https://exponential.fi/pools/1671c8b3-dc5a-4367-8fed-d5b79ffb8639,Aave V2,USDC,USD Coin (Ethereum),https://www.notion.so/Aave-V2-c1ff920073b84ab8820732b856f87e9b,https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316
Aave USD Lending,B,0.0142,https://exponential.fi/pools/5a4cfe69-4cf6-4481-a420-9ce38b12c9c1,Aave V2,DAI,Dai Stablecoin,https://www.notion.so/Aave-V2-c1ff920073b84ab8820732b856f87e9b,https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364
Aave ETH Lending,A,0.0137,https://exponential.fi/pools/6484d2cd-2028-4705-b30b-aece880bedfb,Aave V2,ETH,Ether,https://www.notion.so/Aave-V2-c1ff920073b84ab8820732b856f87e9b,https://www.notion.so/Ether-083c480c6565470385190396104819ad
Aave USD Lending (legacy v2),B,0.0124,https://exponential.fi/pools/aa414294-d7ba-4a7b-b99e-ab74fed45967,Aave V2,USDC,USD Coin Avalanche Bridged,https://www.notion.so/Aave-V2-c1ff920073b84ab8820732b856f87e9b,https://www.notion.so/USD-Coin-Avalanche-Bridged-f53a8bb79e4d47c8be610da9aeeaef77
Aave USD Lending,B,0.0118,https://exponential.fi/pools/ebfddbce-d6fa-4867-99ae-a01d1d43c530,Aave V2,sUSD,Synth USD,https://www.notion.so/Aave-V2-c1ff920073b84ab8820732b856f87e9b,https://www.notion.so/Synth-USD-0e11b81f7fd2428795ce2eb0e53019ee
Aave AVAX Lending (legacy v2),A,0.0098,https://exponential.fi/pools/41d76fba-5c65-4a51-8e8f-e05806c1ebee,Aave V2,AVAX,Avalanche,https://www.notion.so/Aave-V2-c1ff920073b84ab8820732b856f87e9b,https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6
Aave USD Lending (legacy v2),C,0.007,https://exponential.fi/pools/1c2c9ced-0827-4d5c-9881-1cd9bca3466e,Aave V2,DAI,Dai Stablecoin (Avalanche),https://www.notion.so/Aave-V2-c1ff920073b84ab8820732b856f87e9b,https://www.notion.so/Dai-Stablecoin-Avalanche-50e5e95542d446328030694140989c60
Aave BTC Lending,A,0.001,https://exponential.fi/pools/80260de9-20c2-4f43-bb3c-39a26468168e,Aave V2,WBTC,Wrapped BTC (Ethereum),https://www.notion.so/Aave-V2-c1ff920073b84ab8820732b856f87e9b,https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73
Aave USD Lending,B,0.0299,https://exponential.fi/pools/7c242e0b-de24-454f-bab4-e6ff4a3782c9,Aave V2,USDT,Tether USD (Ethereum),https://www.notion.so/Aave-V2-c1ff920073b84ab8820732b856f87e9b,https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c
Aave USD Lending,C,0.0335,https://exponential.fi/pools/c631c731-d4fc-4cad-8150-8658fce4895d,Aave V3,USDT.e,Tether USD (Avalanche),https://www.notion.so/Aave-V3-3afbaf6e6d854b649ca8e999ed803e91,https://www.notion.so/Tether-USD-Avalanche-ab8398ee64df4afe90a3cbac6fc9859d
Aave USD Lending,B,0.0251,https://exponential.fi/pools/e22e1fd8-c53c-47e2-8226-afe83982ff81,Aave V3,USDC,USD Coin Avalanche Bridged,https://www.notion.so/Aave-V3-3afbaf6e6d854b649ca8e999ed803e91,https://www.notion.so/USD-Coin-Avalanche-Bridged-f53a8bb79e4d47c8be610da9aeeaef77
Aave USD Lending,B,0.0144,https://exponential.fi/pools/7e32aae7-4a25-474b-8aed-aedb41501825,Aave V3,DAI,Dai Stablecoin (Avalanche),https://www.notion.so/Aave-V3-3afbaf6e6d854b649ca8e999ed803e91,https://www.notion.so/Dai-Stablecoin-Avalanche-50e5e95542d446328030694140989c60
Aave USD Lending,B,0.0134,https://exponential.fi/pools/a08f806c-90c0-4c1e-a44d-98413ad6bd21,Aave V3,sUSD,Synth USD (Optimism),https://www.notion.so/Aave-V3-3afbaf6e6d854b649ca8e999ed803e91,https://www.notion.so/Synth-USD-Optimism-012810cb4e0549f49efb1892a573afb3
Aave USD Lending,B,0.0075,https://exponential.fi/pools/15b23742-da67-4f5f-8aa5-911419b094c3,Aave V3,DAI,Dai Stablecoin (Optimism),https://www.notion.so/Aave-V3-3afbaf6e6d854b649ca8e999ed803e91,https://www.notion.so/Dai-Stablecoin-Optimism-e1f800b120b64918a14bd49e952e0b66
